game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
862,1,B,A,428,False,8,6,-533.3359375,-139.14320312499999,0.37,24.335636138916016,0.5780701637268066,0.6324635002620718,50.24688672657478,0.0002312778486491823,1e-05,0.1,1.0,35,4,31,0,,,,
863,2,A,A,330,False,8,6,509.6390625,-138.823609375,0.37,2.8188536167144775,0.441311776638031,0.7079870531135904,18.449546154073367,0.00020984628703779584,1e-05,0.1,1.0,35,3,32,0,,,,
864,3,B,A,299,False,8,5,-518.60625,-138.916453125,0.37,-6.262477397918701,0.4622574746608734,0.6542798218109792,17.471332800755892,0.00019239909319351405,1e-05,0.1,1.0,21,3,18,0,,,,
865,0,A,B,286,False,6,8,-537.4000000000001,-139.13491406249997,0.37,-33.43660354614258,0.6110827326774597,0.6049679129883365,68.22454353562848,0.0002013992252622618,1e-05,0.1,1.0,40,8,32,0,,,,
866,1,B,A,207,False,8,4,-511.8125,-139.4117578125,0.37,0.6366294622421265,0.3044719696044922,0.7848883631328741,29.833762284902495,0.00018095103552606952,1e-05,0.1,1.0,12,0,12,0,,,,
867,2,A,B,222,False,4,8,-526.4406250000001,-139.5087890625,0.37,11.164710998535156,0.8964395523071289,0.5359820972547217,57.596444608888376,0.00019458539257844205,1e-05,0.1,1.0,30,5,25,0,,,,
868,3,B,A,215,False,8,5,-514.58125,-149.03991406249997,0.36,-0.8600051999092102,0.627557635307312,0.5961101812620958,19.251580664865873,0.00017577599613368845,1e-05,0.1,1.0,18,2,16,0,,,,
869,0,A,B,198,False,2,8,-519.2609375000001,-149.1012421875,0.36,-4.852801322937012,0.654959499835968,0.6014598447319878,32.39755930777194,0.000167099461325868,1e-05,0.1,1.0,31,3,28,0,,,,
870,1,B,B,302,False,5,8,523.05,-138.7403984375,0.37,5.682381629943848,0.5505672693252563,0.6624710047903843,49.84627022623975,0.0002058932669716956,1e-05,0.1,1.0,42,3,39,0,,,,
871,2,A,A,304,False,8,5,506.5453125,-128.6308203125,0.38,-3.489021062850952,0.4216552972793579,0.6926866737486094,18.91764763274596,0.00019194823439924413,1e-05,0.1,1.0,30,4,26,0,,,,
872,3,B,B,268,False,5,8,502.6296875,-128.88916406250002,0.38,-8.14818000793457,0.5040327906608582,0.6532598962574931,27.124748289317605,0.00018014818265379122,1e-05,0.1,1.0,28,3,25,0,,,,
873,0,A,A,236,False,8,5,509.20781250000005,-129.07449218749997,0.38,0.9529914855957031,0.3291664123535156,0.7272599724630273,30.487986933386942,0.00017639192713234336,1e-05,0.1,1.0,32,7,25,0,,,,
874,1,B,B,392,False,6,8,507.3625,-118.7933984375,0.39,2.292307138442993,0.40221190452575684,0.7271392042815148,26.763851579749666,0.00015905095967836435,1e-05,0.1,1.0,49,5,44,0,,,,
875,2,A,B,313,False,5,8,-532.39140625,-119.1255625,0.39,-2.5953822135925293,0.5928507447242737,0.6901293687925145,29.81376373995609,0.00015354415519630414,1e-05,0.1,1.0,37,3,34,0,,,,
876,3,B,A,249,False,8,6,-507.5546875,-129.381796875,0.38,-5.05977725982666,0.46324095129966736,0.7102473547861337,13.810142584662499,0.00013989210536223488,1e-05,0.1,1.0,24,2,22,0,,,,
877,0,A,B,404,False,7,8,-524.896875,-129.3964765625,0.38,1.1019374132156372,0.40967288613319397,0.7272387285801497,42.05097974891275,0.00013083844066146542,1e-05,0.1,1.0,33,2,31,0,,,,
878,1,B,A,376,False,8,7,-521.0500000000001,-129.393296875,0.38,22.92850112915039,0.6472940444946289,0.5675682103680142,93.22814063529431,0.00015776160518278425,1e-05,0.1,1.0,48,7,41,0,,,,
879,2,A,A,420,False,8,7,503.434375,-119.105828125,0.39,31.719303131103516,0.6671609282493591,0.5860262495827807,74.43283329168953,0.00016324683249490204,1e-05,0.1,1.0,36,7,29,0,,,,
880,3,B,A,422,False,8,6,-536.1281250000001,-119.12139843749999,0.39,16.452068328857422,0.47066792845726013,0.6952396007936242,46.79923510357214,0.00019370960185234804,1e-05,0.1,1.0,38,3,35,0,,,,
881,0,A,A,264,False,8,6,534.8328124999999,-108.72966406249996,0.4,-38.131656646728516,0.5310084223747253,0.6105151913094288,62.47542203886615,0.00018432299955817573,1e-05,0.1,1.0,37,6,31,0,,,,
882,1,B,B,327,False,6,8,499.3578125,-108.59514843749999,0.4,-0.5787273049354553,0.6080880165100098,0.6491200370388387,22.28893672756073,0.00017828172888521656,1e-05,0.1,1.0,44,5,39,0,,,,
883,2,A,B,201,False,6,8,-491.5828125,-108.05142187499996,0.4,0.1032099798321724,0.6603108048439026,0.6369440731677142,5.561420444797116,0.00015845668386679743,1e-05,0.1,1.0,22,1,21,0,,,,
884,3,B,B,401,False,6,8,506.525,-97.63154687499998,0.41,11.177387237548828,0.4241567552089691,0.7057052150342894,21.712471584285787,0.00015913766677202272,1e-05,0.1,1.0,44,5,39,0,,,,
885,0,A,A,294,False,8,6,503.04375,-87.32189062499997,0.42,8.418607711791992,0.5293197631835938,0.6390972477765566,25.981054875773687,0.0001444569758326643,1e-05,0.1,1.0,41,3,38,0,,,,
886,1,B,A,306,False,8,6,-524.2875,-97.72464062499998,0.41,-18.121259689331055,0.33771926164627075,0.7501465452652969,46.329363578571694,0.00013329486047591646,1e-05,0.1,1.0,33,3,30,0,,,,
